SSType,Total,Freq
CC,15193,0.445
CE,404,0.012
CH,311,0.009
CX,1407,0.041
EC,338,0.01
EE,2425,0.071
EH,3,0.0
EX,799,0.023
HC,317,0.009
HH,9254,0.271
HX,701,0.021
XC,1353,0.04
XE,737,0.022
XH,698,0.02
XX,204,0.006
