ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.75_1.01	EE	0.301_0.4	835	0.114	5155	0.705
cons_cons	0.75_1.01	EE	0.401_0.5	708	0.097	5863	0.802
cons_cons	0.75_1.01	EE	0.501_0.6	319	0.044	6182	0.846
cons_cons	0.75_1.01	EE	0.601_0.7	252	0.034	6434	0.88
cons_cons	0.75_1.01	EE	0.701_0.8	283	0.039	6717	0.919
cons_cons	0.75_1.01	EE	0.801_0.9	182	0.025	6899	0.944
cons_cons	0.75_1.01	EE	0.901_1.0	412	0.056	7311	1.0
cons_cons	0.75_1.01	HH	0_0.1	1144	0.066	1144	0.066
cons_cons	0.75_1.01	HH	0.101_0.2	2696	0.157	3840	0.223
cons_cons	0.75_1.01	HH	0.201_0.3	1865	0.108	5705	0.331
cons_cons	0.75_1.01	HH	0.301_0.4	1711	0.099	7416	0.431
cons_cons	0.75_1.01	HH	0.401_0.5	1817	0.106	9233	0.536
cons_cons	0.75_1.01	HH	0.501_0.6	1079	0.063	10312	0.599
cons_cons	0.75_1.01	HH	0.601_0.7	916	0.053	11228	0.652
cons_cons	0.75_1.01	HH	0.701_0.8	1459	0.085	12687	0.737
cons_cons	0.75_1.01	HH	0.801_0.9	947	0.055	13634	0.792
cons_cons	0.75_1.01	HH	0.901_1.0	3580	0.208	17214	1.0
cons_cons	0_0.25	CC	0_0.1	1	0.008	1	0.008
cons_cons	0_0.25	CC	0.101_0.2	4	0.031	5	0.038
cons_cons	0_0.25	CC	0.201_0.3	5	0.038	10	0.076
cons_cons	0_0.25	CC	0.301_0.4	18	0.137	28	0.214
cons_cons	0_0.25	CC	0.401_0.5	10	0.076	38	0.29
cons_cons	0_0.25	CC	0.501_0.6	3	0.023	41	0.313
cons_cons	0_0.25	CC	0.601_0.7	13	0.099	54	0.412
cons_cons	0_0.25	CC	0.701_0.8	5	0.038	59	0.45
cons_cons	0_0.25	CC	0.801_0.9	0	0.0	59	0.45
cons_cons	0_0.25	CC	0.901_1.0	72	0.55	131	1.0
cons_cons	0_0.25	EE	0_0.1	1	0.026	1	0.026
cons_cons	0_0.25	EE	0.101_0.2	4	0.103	5	0.128
cons_cons	0_0.25	EE	0.201_0.3	6	0.154	11	0.282
cons_cons	0_0.25	EE	0.301_0.4	10	0.256	21	0.538
cons_cons	0_0.25	EE	0.401_0.5	3	0.077	24	0.615
cons_cons	0_0.25	EE	0.501_0.6	0	0.0	24	0.615
cons_cons	0_0.25	EE	0.601_0.7	6	0.154	30	0.769
cons_cons	0_0.25	EE	0.701_0.8	1	0.026	31	0.795
cons_cons	0_0.25	EE	0.801_0.9	0	0.0	31	0.795
cons_cons	0_0.25	EE	0.901_1.0	8	0.205	39	1.0
