SSType,Total,Freq
CC,18051,0.446
CE,460,0.011
CH,368,0.009
CX,1657,0.041
EC,402,0.01
EE,2863,0.071
EH,6,0.0
EX,949,0.023
HC,375,0.009
HH,10996,0.272
HX,819,0.02
XC,1594,0.039
XE,852,0.021
XH,802,0.02
XX,237,0.006
