SSType,Total,Freq
CC,178,0.423
CE,6,0.014
CH,6,0.014
CX,17,0.04
EC,5,0.012
EE,37,0.088
EH,1,0.002
EX,9,0.021
HC,4,0.01
HH,116,0.276
HX,6,0.014
XC,16,0.038
XE,9,0.021
XH,6,0.014
XX,5,0.012
