SSType,Total,Freq
CC,2680,0.457
CE,50,0.009
CH,51,0.009
CX,233,0.04
EC,59,0.01
EE,401,0.068
EH,2,0.0
EX,141,0.024
HC,54,0.009
HH,1626,0.277
HX,112,0.019
XC,225,0.038
XE,106,0.018
XH,98,0.017
XX,28,0.005
