ExonType	WEFRange	Junction	Count	Freq
cons_alt	0.25_0.5	CH	1	0.019
cons_alt	0.25_0.5	CC	26	0.491
cons_alt	0.25_0.5	XC	3	0.057
cons_alt	0.25_0.5	CE	1	0.019
cons_alt	0.25_0.5	EE	1	0.019
cons_alt	0.25_0.5	HH	13	0.245
cons_alt	0.25_0.5	CX	3	0.057
cons_alt	0.25_0.5	EX	2	0.038
cons_alt	0.25_0.5	HC	1	0.019
cons_alt	0.5_0.75	HX	4	0.027
cons_alt	0.5_0.75	CH	4	0.027
cons_alt	0.5_0.75	CC	56	0.376
cons_alt	0.5_0.75	XC	4	0.027
cons_alt	0.5_0.75	XX	4	0.027
cons_alt	0.5_0.75	EC	3	0.02
cons_alt	0.5_0.75	XE	4	0.027
cons_alt	0.5_0.75	EE	17	0.114
cons_alt	0.5_0.75	HH	40	0.268
cons_alt	0.5_0.75	CX	8	0.054
cons_alt	0.5_0.75	EX	2	0.013
cons_alt	0.5_0.75	HC	2	0.013
cons_alt	0.5_0.75	XH	1	0.007
cons_alt	0.75_1.01	EC	2	0.01
cons_alt	0.75_1.01	XH	5	0.026
cons_alt	0.75_1.01	CH	1	0.005
cons_alt	0.75_1.01	EH	1	0.005
cons_alt	0.75_1.01	CC	79	0.411
cons_alt	0.75_1.01	XC	8	0.042
cons_alt	0.75_1.01	XX	1	0.005
cons_alt	0.75_1.01	CE	4	0.021
cons_alt	0.75_1.01	XE	5	0.026
cons_alt	0.75_1.01	EE	16	0.083
cons_alt	0.75_1.01	HH	55	0.286
cons_alt	0.75_1.01	CX	6	0.031
cons_alt	0.75_1.01	EX	6	0.031
cons_alt	0.75_1.01	HX	2	0.01
cons_alt	0.75_1.01	HC	1	0.005
