ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	EE	11	0.268
cons_cons	0_0.25	BE	1	0.024
cons_cons	0_0.25	ZZ	27	0.659
cons_cons	0_0.25	EB	2	0.049
cons_cons	0.25_0.5	BE	11	0.021
cons_cons	0.25_0.5	BB	12	0.023
cons_cons	0.25_0.5	EE	166	0.324
cons_cons	0.25_0.5	ZE	6	0.012
cons_cons	0.25_0.5	EB	30	0.058
cons_cons	0.25_0.5	ZZ	242	0.472
cons_cons	0.25_0.5	EZ	42	0.082
cons_cons	0.25_0.5	BZ	4	0.008
cons_cons	0.5_0.75	BE	60	0.041
cons_cons	0.5_0.75	BB	33	0.022
cons_cons	0.5_0.75	EE	645	0.439
cons_cons	0.5_0.75	ZE	2	0.001
cons_cons	0.5_0.75	EB	129	0.088
cons_cons	0.5_0.75	ZZ	447	0.304
cons_cons	0.5_0.75	EZ	126	0.086
cons_cons	0.5_0.75	BZ	26	0.018
cons_cons	0.75_1.01	BE	889	0.019
cons_cons	0.75_1.01	BB	299	0.006
cons_cons	0.75_1.01	EE	6133	0.128
cons_cons	0.75_1.01	ZE	3	0.0
cons_cons	0.75_1.01	ZB	1	0.0
cons_cons	0.75_1.01	EB	1048	0.022
cons_cons	0.75_1.01	ZZ	36389	0.758
cons_cons	0.75_1.01	EZ	2711	0.056
cons_cons	0.75_1.01	BZ	528	0.011
alt_alt	0_0.25	BE	13	0.041
alt_alt	0_0.25	BB	4	0.013
alt_alt	0_0.25	EE	102	0.319
alt_alt	0_0.25	ZE	12	0.037
alt_alt	0_0.25	EB	7	0.022
alt_alt	0_0.25	ZZ	173	0.541
alt_alt	0_0.25	EZ	8	0.025
alt_alt	0_0.25	BZ	1	0.003
alt_alt	0.25_0.5	BE	101	0.038
alt_alt	0.25_0.5	BB	37	0.014
alt_alt	0.25_0.5	EE	868	0.329
alt_alt	0.25_0.5	ZE	21	0.008
alt_alt	0.25_0.5	EB	119	0.045
alt_alt	0.25_0.5	ZZ	1354	0.514
alt_alt	0.25_0.5	EZ	117	0.044
alt_alt	0.25_0.5	BZ	18	0.007
alt_alt	0.5_0.75	BE	196	0.029
alt_alt	0.5_0.75	BB	68	0.01
alt_alt	0.5_0.75	EE	1401	0.204
alt_alt	0.5_0.75	ZE	4	0.001
alt_alt	0.5_0.75	ZB	1	0.0
alt_alt	0.5_0.75	EB	250	0.036
alt_alt	0.5_0.75	ZZ	4542	0.662
alt_alt	0.5_0.75	EZ	336	0.049
alt_alt	0.5_0.75	BZ	65	0.009
alt_alt	0.75_1.01	BE	165	0.016
alt_alt	0.75_1.01	BB	64	0.006
alt_alt	0.75_1.01	EE	1132	0.109
alt_alt	0.75_1.01	ZE	1	0.0
alt_alt	0.75_1.01	EB	208	0.02
alt_alt	0.75_1.01	ZZ	8408	0.809
alt_alt	0.75_1.01	EZ	345	0.033
alt_alt	0.75_1.01	BZ	70	0.007
cons_alt	0_0.25	BE	3	0.022
cons_alt	0_0.25	BB	2	0.014
cons_alt	0_0.25	EE	55	0.396
cons_alt	0_0.25	ZE	9	0.065
cons_alt	0_0.25	EB	8	0.058
cons_alt	0_0.25	ZZ	57	0.41
cons_alt	0_0.25	EZ	4	0.029
cons_alt	0_0.25	BZ	1	0.007
cons_alt	0.25_0.5	BE	61	0.046
cons_alt	0.25_0.5	BB	18	0.014
cons_alt	0.25_0.5	EE	505	0.384
cons_alt	0.25_0.5	ZE	27	0.021
cons_alt	0.25_0.5	EB	73	0.056
cons_alt	0.25_0.5	ZZ	540	0.411
cons_alt	0.25_0.5	EZ	85	0.065
cons_alt	0.25_0.5	BZ	5	0.004
cons_alt	0.5_0.75	BE	140	0.033
cons_alt	0.5_0.75	BB	67	0.016
cons_alt	0.5_0.75	EE	1268	0.298
cons_alt	0.5_0.75	ZE	8	0.002
cons_alt	0.5_0.75	EB	196	0.046
cons_alt	0.5_0.75	ZZ	2167	0.509
cons_alt	0.5_0.75	EZ	358	0.084
cons_alt	0.5_0.75	BZ	52	0.012
cons_alt	0.75_1.01	BE	133	0.023
cons_alt	0.75_1.01	BB	54	0.009
cons_alt	0.75_1.01	EE	1044	0.181
cons_alt	0.75_1.01	ZE	1	0.0
cons_alt	0.75_1.01	EB	168	0.029
cons_alt	0.75_1.01	ZZ	3904	0.676
cons_alt	0.75_1.01	EZ	383	0.066
cons_alt	0.75_1.01	BZ	85	0.015
