SSType,Total,Freq
BB,20,0.004
BE,55,0.01
BX,62,0.011
BZ,1,0.0
EB,78,0.014
EE,2709,0.496
EX,905,0.166
EZ,20,0.004
XB,68,0.012
XE,753,0.138
XX,680,0.124
XZ,16,0.003
ZZ,97,0.018
