SSType,Total,Freq
BB,36,0.003
BE,134,0.012
BX,141,0.012
BZ,7,0.001
EB,185,0.016
EE,5279,0.459
EX,1876,0.163
EZ,161,0.014
XB,175,0.015
XE,1772,0.154
XX,1431,0.124
XZ,64,0.006
ZZ,236,0.021
