SSType,Total,Freq
CC,29891,0.347
CE,1053,0.012
CH,925,0.011
CX,4205,0.049
EC,982,0.011
EE,7670,0.089
EH,83,0.001
EX,2253,0.026
HC,902,0.01
HE,33,0.0
HH,23784,0.276
HX,2450,0.028
XC,4007,0.046
XE,2288,0.027
XH,2521,0.029
XX,1280,0.015
ZC,5,0.0
ZH,2,0.0
ZX,10,0.0
ZZ,1859,0.022
