SSType,Total,Freq
CC,7673,0.368
CE,249,0.012
CH,192,0.009
CX,968,0.046
EC,229,0.011
EE,1749,0.084
EH,16,0.001
EX,513,0.025
HC,198,0.01
HE,8,0.0
HH,5491,0.264
HX,548,0.026
XC,981,0.047
XE,550,0.026
XH,588,0.028
XX,309,0.015
ZC,1,0.0
ZX,1,0.0
ZZ,573,0.027
