SSType,Total,Freq
BB,17,0.003
BE,61,0.011
BX,66,0.012
BZ,1,0.0
EB,85,0.015
EE,2597,0.463
EX,822,0.146
EZ,107,0.019
XB,80,0.014
XE,777,0.138
XX,718,0.128
XZ,47,0.008
ZZ,237,0.042
