SSType,Total,Freq
CC,1977756,0.386
CE,58587,0.011
CH,51856,0.01
CX,227698,0.044
CZ,348,0.0
EC,61372,0.012
EE,406154,0.079
EH,1878,0.0
EX,129680,0.025
HC,50403,0.01
HE,3781,0.001
HH,1314484,0.257
HX,139505,0.027
HZ,61,0.0
XC,235131,0.046
XE,127818,0.025
XH,134816,0.026
XX,73184,0.014
XZ,895,0.0
ZC,1,0.0
ZX,2,0.0
ZZ,123435,0.024
