SSType,Total,Freq
CC,17366,0.336
CE,646,0.013
CH,558,0.011
CX,2547,0.049
EC,602,0.012
EE,4734,0.092
EH,49,0.001
EX,1410,0.027
HC,565,0.011
HE,19,0.0
HH,14492,0.281
HX,1521,0.029
XC,2436,0.047
XE,1418,0.027
XH,1542,0.03
XX,749,0.015
ZC,3,0.0
ZH,1,0.0
ZX,8,0.0
ZZ,969,0.019
