ExonType	WEFRange	Junction	Count	Freq
cons_alt	0.25_0.5	XE	96	0.073
cons_alt	0.25_0.5	XZ	28	0.021
cons_alt	0.25_0.5	XB	13	0.01
cons_alt	0.25_0.5	XX	81	0.062
cons_alt	0.25_0.5	ZX	7	0.005
cons_alt	0.25_0.5	EX	100	0.076
cons_alt	0.25_0.5	ZZ	533	0.406
cons_alt	0.25_0.5	EZ	63	0.048
cons_alt	0.25_0.5	EB	5	0.004
cons_alt	0.25_0.5	BX	6	0.005
cons_alt	0.25_0.5	BZ	1	0.001
cons_alt	0.5_0.75	BE	15	0.004
cons_alt	0.5_0.75	BB	5	0.001
cons_alt	0.5_0.75	EE	828	0.195
cons_alt	0.5_0.75	ZE	5	0.001
cons_alt	0.5_0.75	XE	249	0.059
cons_alt	0.5_0.75	XZ	127	0.03
cons_alt	0.5_0.75	XB	23	0.005
cons_alt	0.5_0.75	XX	236	0.055
cons_alt	0.5_0.75	ZX	8	0.002
cons_alt	0.5_0.75	EX	265	0.062
cons_alt	0.5_0.75	ZZ	2161	0.508
cons_alt	0.5_0.75	EZ	273	0.064
cons_alt	0.5_0.75	EB	24	0.006
cons_alt	0.5_0.75	BX	26	0.006
cons_alt	0.5_0.75	BZ	11	0.003
cons_alt	0.75_1.01	BE	16	0.003
cons_alt	0.75_1.01	BB	8	0.001
cons_alt	0.75_1.01	EE	686	0.119
cons_alt	0.75_1.01	XE	220	0.038
cons_alt	0.75_1.01	XZ	159	0.028
cons_alt	0.75_1.01	XB	20	0.003
cons_alt	0.75_1.01	XX	176	0.03
cons_alt	0.75_1.01	EX	234	0.041
cons_alt	0.75_1.01	ZZ	3903	0.676
cons_alt	0.75_1.01	EZ	291	0.05
cons_alt	0.75_1.01	EB	27	0.005
cons_alt	0.75_1.01	BX	16	0.003
cons_alt	0.75_1.01	BZ	16	0.003
