SSType,Total,Freq
CC,4852,0.353
CE,158,0.012
CH,175,0.013
CX,690,0.05
EC,151,0.011
EE,1187,0.086
EH,18,0.001
EX,330,0.024
HC,139,0.01
HE,6,0.0
HH,3801,0.277
HX,381,0.028
XC,590,0.043
XE,320,0.023
XH,391,0.028
XX,222,0.016
ZC,1,0.0
ZH,1,0.0
ZX,1,0.0
ZZ,317,0.023
