SSType,Total,Freq
CC,18329,0.449
CE,483,0.012
CH,369,0.009
CX,1655,0.041
EC,392,0.01
EE,2851,0.07
EH,3,0.0
EX,949,0.023
HC,381,0.009
HH,10968,0.269
HX,849,0.021
XC,1609,0.039
XE,895,0.022
XH,859,0.021
XX,236,0.006
