ExonType	WEFRange	Junction	Count	Freq
cons_alt	0_0.25	EE	31	0.058
cons_alt	0_0.25	HH	130	0.242
cons_alt	0_0.25	CX	27	0.05
cons_alt	0_0.25	EX	13	0.024
cons_alt	0_0.25	HX	9	0.017
cons_alt	0_0.25	HC	2	0.004
cons_alt	0.25_0.5	EC	19	0.01
cons_alt	0.25_0.5	HX	45	0.024
cons_alt	0.25_0.5	CH	23	0.012
cons_alt	0.25_0.5	CC	866	0.459
cons_alt	0.25_0.5	XC	81	0.043
cons_alt	0.25_0.5	XH	45	0.024
cons_alt	0.25_0.5	CE	22	0.012
cons_alt	0.25_0.5	XE	33	0.018
cons_alt	0.25_0.5	EE	121	0.064
cons_alt	0.25_0.5	HH	469	0.249
cons_alt	0.25_0.5	CX	82	0.044
cons_alt	0.25_0.5	EX	43	0.023
cons_alt	0.25_0.5	HC	16	0.008
cons_alt	0.25_0.5	XX	20	0.011
cons_alt	0.5_0.75	EC	36	0.008
cons_alt	0.5_0.75	XH	88	0.02
cons_alt	0.5_0.75	CH	41	0.009
cons_alt	0.5_0.75	CC	1996	0.45
cons_alt	0.5_0.75	XC	198	0.045
cons_alt	0.5_0.75	HX	110	0.025
cons_alt	0.5_0.75	CE	34	0.008
cons_alt	0.5_0.75	XE	104	0.023
cons_alt	0.5_0.75	EE	341	0.077
cons_alt	0.5_0.75	HH	1162	0.262
cons_alt	0.5_0.75	CX	172	0.039
cons_alt	0.5_0.75	EX	85	0.019
cons_alt	0.5_0.75	HC	43	0.01
cons_alt	0.5_0.75	XX	30	0.007
cons_alt	0.75_1.01	EC	68	0.01
cons_alt	0.75_1.01	XH	152	0.023
cons_alt	0.75_1.01	CH	72	0.011
cons_alt	0.75_1.01	EH	1	0.0
cons_alt	0.75_1.01	CC	2885	0.443
cons_alt	0.75_1.01	XC	242	0.037
cons_alt	0.75_1.01	HX	135	0.021
cons_alt	0.75_1.01	CE	77	0.012
cons_alt	0.75_1.01	XE	145	0.022
cons_alt	0.75_1.01	EE	477	0.073
cons_alt	0.75_1.01	HH	1779	0.273
cons_alt	0.75_1.01	CX	257	0.039
cons_alt	0.75_1.01	EX	125	0.019
cons_alt	0.75_1.01	HC	54	0.008
cons_alt	0.75_1.01	XX	40	0.006
