position
0.31
1.0
0.43
0.32
0.79
0.96
0.35
0.37
0.95
0.4
1.0
0.39
0.6
1.0
1.0
0.34
0.05
0.2
0.08
0.25
0.71
0.28
0.29
0.34
0.36
0.26
1.0
0.24
0.26
0.45
0.21
0.07
0.29
0.08
0.22
0.24
0.39
0.37
0.26
0.21
0.22
0.21
0.23
0.2
0.07
1.0
1.0
1.0
0.99
0.98
0.94
1.0
1.0
0.09
0.11
0.16
1.0
1.0
0.07
0.09
0.71
0.8
0.84
0.87
1.0
0.22
0.01
0.36
0.37
0.38
0.39
1.0
0.22
0.07
0.06
0.95
0.96
1.0
1.0
1.0
1.0
0.86
0.4
0.74
0.92
0.43
0.77
0.68
0.77
1.0
0.35
0.29
0.32
0.84
0.96
0.72
0.67
0.97
0.71
1.0
0.62
0.97
0.78
1.0
0.06
1.0
1.0
1.0
1.0
0.96
0.97
0.97
0.05
0.04
0.04
1.0
0.07
1.0
0.25
0.04
0.15
1.0
1.0
1.0
0.39
0.32
1.0
0.13
1.0
1.0
1.0
0.96
0.99
1.0
0.91
1.0
1.0
1.0
0.86
0.97
1.0
0.29
0.24
0.33
0.52
0.78
0.26
0.17
0.71
0.6
0.65
0.9
0.63
1.0
0.4
1.0
1.0
0.83
0.95
1.0
0.1
0.09
1.0
0.2
1.0
0.23
0.0
0.99
0.96
1.0
0.54
1.0
0.72
0.86
0.73
0.99
1.0
1.0
0.85
0.89
0.99
0.83
1.0
0.17
0.15
0.12
1.0
1.0
0.61
0.32
0.3
0.04
0.11
0.15
1.0
1.0
0.29
0.25
1.0
0.56
0.51
0.04
1.0
0.83
0.22
0.21
0.07
0.18
0.2
0.36
0.13
0.6
1.0
0.17
0.07
0.79
0.78
1.0
1.0
0.16
1.0
0.19
0.94
0.88
1.0
1.0
1.0
1.0
1.0
0.15
0.17
1.0
0.74
0.31
0.25
0.0
0.37
0.52
1.0
0.89
0.99
0.92
0.41
0.39
0.02
1.0
1.0
1.0
1.0
0.47
1.0
0.31
0.28
0.05
0.29
1.0
1.0
0.52
1.0
0.2
0.15
0.89
0.81
0.97
0.06
0.29
0.23
0.21
0.26
0.36
0.25
0.24
1.0
1.0
1.0
1.0
0.19
0.52
0.97
0.89
1.0
1.0
0.57
0.84
0.18
0.05
1.0
1.0
1.0
0.9
0.98
0.92
0.97
0.3
0.31
0.28
0.29
0.37
0.4
0.24
0.23
0.96
1.0
0.14
1.0
0.8
0.29
0.27
0.4
0.09
0.29
0.3
0.36
0.4
0.63
0.36
0.3
0.47
0.64
0.75
0.86
0.83
0.36
0.37
1.0
1.0
1.0
1.0
0.14
1.0
1.0
1.0
0.26
0.33
0.39
0.29
0.35
0.22
0.28
0.23
0.41
0.49
0.52
0.69
0.83
0.86
0.74
0.61
0.69
0.93
0.54
0.43
0.6
0.51
0.95
1.0
0.94
1.0
1.0
1.0
0.06
1.0
1.0
1.0
0.78
0.46
0.78
0.37
0.42
0.38
0.47
0.32
0.41
0.36
0.38
0.13
0.24
0.17
1.0
0.1
0.15
0.13
0.09
0.18
0.14
0.17
0.2
0.53
0.41
0.99
1.0
1.0
0.9
0.89
0.96
0.98
0.97
1.0
0.29
0.19
0.38
0.42
0.04
0.04
0.87
0.91
0.98
1.0
0.5
0.19
0.19
1.0
1.0
0.99
0.12
0.96
0.85
0.14
1.0
0.09
0.86
0.99
1.0
1.0
0.15
0.09
0.08
0.39
0.41
1.0
0.99
1.0
0.68
0.63
1.0
1.0
1.0
1.0
0.91
1.0
1.0
0.91
1.0
1.0
1.0
1.0
1.0
0.62
0.59
0.68
0.31
1.0
0.8
0.91
1.0
0.27
0.27
0.23
0.47
0.28
0.67
1.0
1.0
0.07
0.04
0.35
0.12
1.0
1.0
0.84
0.8
0.85
0.87
0.89
0.94
0.9
0.61
0.03
0.09
0.99
1.0
0.04
0.1
0.06
0.81
0.64
1.0
0.85
1.0
0.6
0.45
1.0
0.65
0.59
1.0
0.42
0.43
0.2
0.19
0.15
1.0
0.18
0.12
0.19
0.2
1.0
1.0
1.0
0.96
0.07
0.06
1.0
0.08
1.0
0.06
0.56
0.98
1.0
0.12
0.05
0.06
0.21
0.16
0.22
0.17
0.71
0.49
0.13
1.0
0.98
0.11
0.11
1.0
0.96
0.87
0.98
0.76
0.87
0.77
1.0
0.99
0.76
0.79
0.82
0.64
0.71
0.65
0.7
0.96
1.0
0.2
1.0
1.0
0.99
0.4
0.03
1.0
1.0
0.41
1.0
1.0
1.0
0.14
0.09
0.54
0.53
0.59
1.0
1.0
1.0
1.0
0.17
1.0
0.15
0.12
0.17
0.95
1.0
0.27
1.0
1.0
1.0
0.64
0.51
0.94
1.0
0.59
0.61
1.0
0.79
0.74
1.0
1.0
0.07
0.77
0.06
0.03
0.04
0.09
0.38
1.0
0.61
0.6
0.23
0.15
0.13
0.82
0.25
0.16
0.24
0.19
0.14
0.67
1.0
0.65
0.75
0.77
0.93
0.62
0.42
0.54
0.4
0.46
0.44
0.56
0.52
0.44
0.94
0.97
0.1
0.09
1.0
0.99
0.69
1.0
1.0
0.86
0.81
0.65
0.71
0.62
1.0
0.63
0.7
1.0
0.49
1.0
0.56
0.1
0.07
0.08
1.0
1.0
1.0
0.31
1.0
1.0
1.0
0.97
1.0
1.0
1.0
0.67
0.34
0.35
0.85
0.34
0.95
1.0
0.11
0.95
0.26
0.23
0.22
0.43
1.0
1.0
1.0
1.0
0.99
0.78
1.0
1.0
1.0
1.0
0.05
0.08
0.14
1.0
1.0
1.0
1.0
0.06
0.09
0.08
0.3
1.0
0.24
0.17
0.18
0.1
0.69
0.34
0.32
0.33
0.31
0.11
1.0
0.27
0.21
1.0
1.0
0.09
0.01
0.38
0.3
0.36
0.26
0.73
0.41
0.43
0.02
1.0
1.0
0.12
0.14
1.0
1.0
0.77
0.9
0.91
0.2
0.41
1.0
1.0
0.06
1.0
1.0
0.73
0.8
0.02
1.0
0.23
1.0
1.0
0.58
1.0
0.19
1.0
0.05
1.0
1.0
1.0
0.65
0.64
0.46
0.67
0.62
0.48
0.01
1.0
1.0
0.04
0.56
0.55
0.7
0.63
0.71
0.77
0.75
0.15
0.21
0.51
0.57
1.0
1.0
0.97
0.42
1.0
0.66
0.31
0.4
