ChangeInLength,TotalCases,Frequency,SSeqLength,Css,Hss,Ess,StrideLength,Cst,Hst,Est,Nter,Middle,Cter
-_-50,429,0.1,54781,0.74,0.18,0.08,444,0.32,0.0,0.0,0.79,0.17,0.04
-50_-40,164,0.04,7425,0.62,0.27,0.11,351,0.13,0.0,0.0,0.85,0.08,0.07
-40_-30,241,0.06,8553,0.63,0.25,0.12,264,0.0,0.0,0.0,0.83,0.14,0.03
-30_-20,361,0.09,9106,0.61,0.28,0.11,126,0.0,0.0,0.0,0.73,0.2,0.07
-20_-10,644,0.15,9553,0.59,0.29,0.12,337,0.07,0.0,0.04,0.69,0.23,0.08
-10_-5,387,0.09,3038,0.65,0.27,0.08,89,0.0,0.0,0.0,0.69,0.24,0.07
-5_-2,292,0.07,1194,0.68,0.25,0.07,38,0.13,0.0,0.11,0.65,0.25,0.1
3_5,99,0.02,369,0.7,0.12,0.17,38,0.0,0.0,0.0,0.66,0.31,0.03
5_10,484,0.11,3359,0.7,0.19,0.11,195,0.06,0.0,0.0,0.65,0.29,0.06
10_20,417,0.1,5962,0.68,0.2,0.12,414,0.05,0.01,0.02,0.65,0.29,0.06
20_30,238,0.06,5682,0.7,0.21,0.1,320,0.0,0.0,0.0,0.76,0.23,0.01
30_40,138,0.03,4768,0.72,0.18,0.1,167,0.0,0.0,0.0,0.86,0.14,0.0
40_50,80,0.02,3525,0.81,0.12,0.07,130,0.0,0.0,0.0,0.93,0.06,0.01
50_+,272,0.06,29847,0.84,0.1,0.06,2424,0.0,0.0,0.0,0.91,0.08,0.0
