ChangeInLength,TotalCases,Frequency,SSeqLength,Css,Hss,Ess,StrideLength,Cst,Hst,Est,Nter,Middle,Cter
-_-50,371,0.13,58357,0.7,0.19,0.11,232,0.16,0.39,0.18,0.24,0.22,0.54
-50_-40,91,0.03,4176,0.61,0.22,0.16,0,0,0,0,0.1,0.12,0.78
-40_-30,129,0.05,4500,0.57,0.29,0.14,0,0,0,0,0.26,0.2,0.54
-30_-20,214,0.08,5431,0.54,0.31,0.15,27,0.0,0.0,0.0,0.26,0.23,0.5
-20_-10,292,0.11,4339,0.55,0.32,0.13,0,0,0,0,0.22,0.34,0.44
-10_-5,218,0.08,1708,0.56,0.31,0.13,0,0,0,0,0.34,0.3,0.35
-5_-2,218,0.08,877,0.61,0.3,0.1,18,0.78,0.06,0.0,0.27,0.41,0.32
3_5,135,0.05,468,0.62,0.31,0.07,3,0.0,0.0,1.0,0.19,0.39,0.42
5_10,258,0.09,1800,0.5,0.31,0.19,9,0.0,1.0,0.0,0.22,0.26,0.53
10_20,325,0.12,4613,0.56,0.29,0.15,0,0,0,0,0.19,0.21,0.61
20_30,132,0.05,3294,0.54,0.28,0.18,56,0.0,0.0,0.52,0.14,0.05,0.8
30_40,93,0.03,3158,0.6,0.26,0.14,0,0,0,0,0.13,0.04,0.83
40_50,78,0.03,3492,0.52,0.32,0.16,0,0,0,0,0.04,0.21,0.76
50_+,200,0.07,34698,0.77,0.14,0.09,109,0.28,0.32,0.4,0.04,0.09,0.86
