ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.5_0.75	CC	0_0.1	6	0.015	6	0.015
cons_cons	0.5_0.75	CC	0.101_0.2	30	0.075	36	0.09
cons_cons	0.5_0.75	CC	0.201_0.3	18	0.045	54	0.135
cons_cons	0.5_0.75	CC	0.301_0.4	49	0.123	103	0.258
cons_cons	0.5_0.75	CC	0.401_0.5	27	0.068	130	0.326
cons_cons	0.5_0.75	CC	0.501_0.6	14	0.035	144	0.361
cons_cons	0.5_0.75	CC	0.601_0.7	47	0.118	191	0.479
cons_cons	0.5_0.75	CC	0.701_0.8	19	0.048	210	0.526
cons_cons	0.5_0.75	CC	0.801_0.9	12	0.03	222	0.556
cons_cons	0.5_0.75	CC	0.901_1.0	177	0.444	399	1.0
cons_cons	0.5_0.75	EE	0_0.1	1	0.013	1	0.013
cons_cons	0.5_0.75	EE	0.101_0.2	15	0.197	16	0.211
cons_cons	0.5_0.75	EE	0.201_0.3	6	0.079	22	0.289
cons_cons	0.5_0.75	EE	0.301_0.4	21	0.276	43	0.566
cons_cons	0.5_0.75	EE	0.401_0.5	8	0.105	51	0.671
cons_cons	0.5_0.75	EE	0.501_0.6	0	0.0	51	0.671
cons_cons	0.5_0.75	EE	0.601_0.7	9	0.118	60	0.789
cons_cons	0.5_0.75	EE	0.701_0.8	3	0.039	63	0.829
cons_cons	0.5_0.75	EE	0.801_0.9	1	0.013	64	0.842
cons_cons	0.5_0.75	EE	0.901_1.0	12	0.158	76	1.0
cons_cons	0.5_0.75	HH	0_0.1	2	0.007	2	0.007
cons_cons	0.5_0.75	HH	0.101_0.2	25	0.087	27	0.094
cons_cons	0.5_0.75	HH	0.201_0.3	7	0.024	34	0.118
cons_cons	0.5_0.75	HH	0.301_0.4	51	0.177	85	0.295
cons_cons	0.5_0.75	HH	0.401_0.5	20	0.069	105	0.365
cons_cons	0.5_0.75	HH	0.501_0.6	7	0.024	112	0.389
cons_cons	0.5_0.75	HH	0.601_0.7	28	0.097	140	0.486
cons_cons	0.5_0.75	HH	0.701_0.8	14	0.049	154	0.535
cons_cons	0.5_0.75	HH	0.801_0.9	12	0.042	166	0.576
cons_cons	0.5_0.75	HH	0.901_1.0	122	0.424	288	1.0
cons_cons	0.25_0.5	CC	0_0.1	3	0.005	3	0.005
cons_cons	0.25_0.5	CC	0.101_0.2	34	0.058	37	0.063
cons_cons	0.25_0.5	CC	0.201_0.3	30	0.051	67	0.114
cons_cons	0.25_0.5	CC	0.301_0.4	56	0.095	123	0.21
cons_cons	0.25_0.5	CC	0.401_0.5	43	0.073	166	0.283
cons_cons	0.25_0.5	CC	0.501_0.6	18	0.031	184	0.313
cons_cons	0.25_0.5	CC	0.601_0.7	52	0.089	236	0.402
cons_cons	0.25_0.5	CC	0.701_0.8	38	0.065	274	0.467
cons_cons	0.25_0.5	CC	0.801_0.9	14	0.024	288	0.491
cons_cons	0.25_0.5	CC	0.901_1.0	299	0.509	587	1.0
cons_cons	0.25_0.5	EE	0_0.1	7	0.059	7	0.059
cons_cons	0.25_0.5	EE	0.101_0.2	15	0.126	22	0.185
cons_cons	0.25_0.5	EE	0.201_0.3	19	0.16	41	0.345
cons_cons	0.25_0.5	EE	0.301_0.4	31	0.261	72	0.605
cons_cons	0.25_0.5	EE	0.401_0.5	14	0.118	86	0.723
cons_cons	0.25_0.5	EE	0.501_0.6	5	0.042	91	0.765
cons_cons	0.25_0.5	EE	0.601_0.7	10	0.084	101	0.849
cons_cons	0.25_0.5	EE	0.701_0.8	3	0.025	104	0.874
cons_cons	0.25_0.5	EE	0.801_0.9	0	0.0	104	0.874
cons_cons	0.25_0.5	EE	0.901_1.0	15	0.126	119	1.0
cons_cons	0.25_0.5	HH	0_0.1	5	0.015	5	0.015
cons_cons	0.25_0.5	HH	0.101_0.2	30	0.091	35	0.106
cons_cons	0.25_0.5	HH	0.201_0.3	30	0.091	65	0.196
cons_cons	0.25_0.5	HH	0.301_0.4	46	0.139	111	0.335
cons_cons	0.25_0.5	HH	0.401_0.5	28	0.085	139	0.42
cons_cons	0.25_0.5	HH	0.501_0.6	18	0.054	157	0.474
cons_cons	0.25_0.5	HH	0.601_0.7	34	0.103	191	0.577
cons_cons	0.25_0.5	HH	0.701_0.8	21	0.063	212	0.64
cons_cons	0.25_0.5	HH	0.801_0.9	8	0.024	220	0.665
cons_cons	0.25_0.5	HH	0.901_1.0	111	0.335	331	1.0
cons_cons	0.75_1.01	CC	0_0.1	1320	0.032	1320	0.032
cons_cons	0.75_1.01	CC	0.101_0.2	4285	0.104	5605	0.136
cons_cons	0.75_1.01	CC	0.201_0.3	3260	0.079	8865	0.216
cons_cons	0.75_1.01	CC	0.301_0.4	4934	0.12	13799	0.336
cons_cons	0.75_1.01	CC	0.401_0.5	3577	0.087	17376	0.423
cons_cons	0.75_1.01	CC	0.501_0.6	1975	0.048	19351	0.471
cons_cons	0.75_1.01	CC	0.601_0.7	3187	0.078	22538	0.548
cons_cons	0.75_1.01	CC	0.701_0.8	3108	0.076	25646	0.624
cons_cons	0.75_1.01	CC	0.801_0.9	2155	0.052	27801	0.677
cons_cons	0.75_1.01	CC	0.901_1.0	13293	0.323	41094	1.0
cons_cons	0.75_1.01	EE	0_0.1	1270	0.108	1270	0.108
cons_cons	0.75_1.01	EE	0.101_0.2	2728	0.233	3998	0.341
cons_cons	0.75_1.01	EE	0.201_0.3	1711	0.146	5709	0.488
cons_cons	0.75_1.01	EE	0.301_0.4	2022	0.173	7731	0.66
cons_cons	0.75_1.01	EE	0.401_0.5	1033	0.088	8764	0.748
cons_cons	0.75_1.01	EE	0.501_0.6	460	0.039	9224	0.788
cons_cons	0.75_1.01	EE	0.601_0.7	749	0.064	9973	0.852
cons_cons	0.75_1.01	EE	0.701_0.8	500	0.043	10473	0.894
cons_cons	0.75_1.01	EE	0.801_0.9	280	0.024	10753	0.918
cons_cons	0.75_1.01	EE	0.901_1.0	956	0.082	11709	1.0
cons_cons	0.75_1.01	HH	0_0.1	1442	0.051	1442	0.051
cons_cons	0.75_1.01	HH	0.101_0.2	3662	0.13	5104	0.181
cons_cons	0.75_1.01	HH	0.201_0.3	2667	0.094	7771	0.275
cons_cons	0.75_1.01	HH	0.301_0.4	3831	0.136	11602	0.41
cons_cons	0.75_1.01	HH	0.401_0.5	2639	0.093	14241	0.504
cons_cons	0.75_1.01	HH	0.501_0.6	1459	0.052	15700	0.555
cons_cons	0.75_1.01	HH	0.601_0.7	2319	0.082	18019	0.638
cons_cons	0.75_1.01	HH	0.701_0.8	2182	0.077	20201	0.715
cons_cons	0.75_1.01	HH	0.801_0.9	1279	0.045	21480	0.76
cons_cons	0.75_1.01	HH	0.901_1.0	6785	0.24	28265	1.0
cons_cons	0_0.25	CC	0_0.1	2	0.01	2	0.01
cons_cons	0_0.25	CC	0.101_0.2	7	0.035	9	0.045
cons_cons	0_0.25	CC	0.201_0.3	9	0.045	18	0.09
cons_cons	0_0.25	CC	0.301_0.4	24	0.119	42	0.209
cons_cons	0_0.25	CC	0.401_0.5	13	0.065	55	0.274
cons_cons	0_0.25	CC	0.501_0.6	4	0.02	59	0.294
cons_cons	0_0.25	CC	0.601_0.7	19	0.095	78	0.388
cons_cons	0_0.25	CC	0.701_0.8	8	0.04	86	0.428
cons_cons	0_0.25	CC	0.801_0.9	2	0.01	88	0.438
cons_cons	0_0.25	CC	0.901_1.0	113	0.562	201	1.0
cons_cons	0_0.25	EE	0_0.1	1	0.019	1	0.019
cons_cons	0_0.25	EE	0.101_0.2	6	0.113	7	0.132
cons_cons	0_0.25	EE	0.201_0.3	8	0.151	15	0.283
cons_cons	0_0.25	EE	0.301_0.4	14	0.264	29	0.547
cons_cons	0_0.25	EE	0.401_0.5	5	0.094	34	0.642
cons_cons	0_0.25	EE	0.501_0.6	0	0.0	34	0.642
cons_cons	0_0.25	EE	0.601_0.7	6	0.113	40	0.755
cons_cons	0_0.25	EE	0.701_0.8	2	0.038	42	0.792
cons_cons	0_0.25	EE	0.801_0.9	0	0.0	42	0.792
cons_cons	0_0.25	EE	0.901_1.0	11	0.208	53	1.0
cons_cons	0_0.25	HH	0_0.1	1	0.008	1	0.008
cons_cons	0_0.25	HH	0.101_0.2	8	0.063	9	0.071
cons_cons	0_0.25	HH	0.201_0.3	10	0.079	19	0.15
cons_cons	0_0.25	HH	0.301_0.4	21	0.165	40	0.315
cons_cons	0_0.25	HH	0.401_0.5	3	0.024	43	0.339
cons_cons	0_0.25	HH	0.501_0.6	4	0.031	47	0.37
cons_cons	0_0.25	HH	0.601_0.7	15	0.118	62	0.488
cons_cons	0_0.25	HH	0.701_0.8	9	0.071	71	0.559
cons_cons	0_0.25	HH	0.801_0.9	2	0.016	73	0.575
cons_cons	0_0.25	HH	0.901_1.0	54	0.425	127	1.0
alt_alt	0_0.25	EE	0_0.1	2	0.021	2	0.021
alt_alt	0_0.25	EE	0.101_0.2	12	0.126	14	0.147
alt_alt	0_0.25	EE	0.201_0.3	10	0.105	24	0.253
alt_alt	0_0.25	EE	0.301_0.4	26	0.274	50	0.526
alt_alt	0_0.25	EE	0.401_0.5	5	0.053	55	0.579
alt_alt	0_0.25	EE	0.501_0.6	7	0.074	62	0.653
alt_alt	0_0.25	EE	0.601_0.7	11	0.116	73	0.768
alt_alt	0_0.25	EE	0.701_0.8	2	0.021	75	0.789
alt_alt	0_0.25	EE	0.801_0.9	1	0.011	76	0.8
alt_alt	0_0.25	EE	0.901_1.0	19	0.2	95	1.0
alt_alt	0_0.25	CC	0_0.1	3	0.005	3	0.005
alt_alt	0_0.25	CC	0.101_0.2	20	0.032	23	0.037
alt_alt	0_0.25	CC	0.201_0.3	20	0.032	43	0.07
alt_alt	0_0.25	CC	0.301_0.4	79	0.128	122	0.198
alt_alt	0_0.25	CC	0.401_0.5	40	0.065	162	0.263
alt_alt	0_0.25	CC	0.501_0.6	13	0.021	175	0.284
alt_alt	0_0.25	CC	0.601_0.7	71	0.115	246	0.399
alt_alt	0_0.25	CC	0.701_0.8	33	0.054	279	0.453
alt_alt	0_0.25	CC	0.801_0.9	13	0.021	292	0.474
alt_alt	0_0.25	CC	0.901_1.0	324	0.526	616	1.0
alt_alt	0_0.25	HH	0_0.1	2	0.006	2	0.006
alt_alt	0_0.25	HH	0.101_0.2	16	0.051	18	0.057
alt_alt	0_0.25	HH	0.201_0.3	19	0.061	37	0.118
alt_alt	0_0.25	HH	0.301_0.4	63	0.201	100	0.318
