SSType,Total,Freq
CC,861,0.424
CE,21,0.01
CH,24,0.012
CX,94,0.046
EC,15,0.007
EE,144,0.071
EX,43,0.021
HC,24,0.012
HH,540,0.266
HX,50,0.025
XC,88,0.043
XE,48,0.024
XH,60,0.03
XX,18,0.009
