Length,Type
-176,N
-10,N
-10,N
-10,N
-11,N
-11,N
5,N
-18,N
-14,N
-18,N
-37,N
-37,N
12,N
-6,N
-13,N
-6,N
-35,N
-4,N
-4,N
-21,N
79,N
17,N
17,N
17,N
37,N
-22,N
-18,N
-37,N
8,N
8,N
5,N
-16,N
-3,N
-16,N
-16,N
-16,N
-41,N
-27,N
17,N
-66,N
-8,N
-17,N
-17,N
57,N
24,N
-23,N
24,N
-22,N
-22,N
24,N
-20,N
23,N
4,N
-4,N
-4,N
-4,N
-4,N
28,N
-42,N
-42,N
-72,N
-19,N
14,N
14,N
4,N
-3,N
-97,N
22,N
22,N
22,N
22,N
20,N
7,N
-126,N
-20,N
-68,N
21,N
21,N
21,N
8,N
-22,N
-17,N
-40,N
-18,N
-16,N
-16,N
-16,N
-16,N
-164,N
-41,N
-35,N
-7,N
-220,N
-5,N
-18,N
-8,N
18,N
18,N
-55,N
18,N
-47,N
-39,N
-19,N
-33,N
-31,N
15,N
-9,N
-9,N
-12,N
-26,N
-28,N
8,N
8,N
8,N
-11,N
-233,N
43,N
-38,N
13,N
-8,N
-8,N
-20,N
-9,N
-10,N
-9,N
74,N
-9,N
-45,N
32,N
-45,N
32,N
65,N
-17,N
6,N
-12,N
-5,N
5,N
5,N
83,N
46,N
7,N
7,N
-7,N
-31,N
-15,N
-3,N
-18,N
13,N
13,N
13,N
26,N
-17,N
32,N
32,N
114,N
-28,N
18,N
-12,N
-14,N
52,N
35,N
52,N
-12,N
-12,N
28,N
-4,N
146,N
19,N
-3,N
8,N
8,N
-4,N
-4,N
-78,N
-107,N
-4,N
13,N
-21,N
-20,N
-13,N
-13,N
39,N
65,N
-10,N
5,N
-16,N
-11,N
-60,N
40,N
-69,N
-3,N
-3,N
-6,N
-13,N
-3,N
8,N
102,N
-21,N
-3,N
41,N
36,N
8,N
36,N
-62,N
8,N
-62,N
36,N
36,N
49,N
-62,N
36,N
36,N
21,N
11,N
-17,N
4,N
-19,N
-43,N
-21,N
-6,N
-9,N
-12,N
-4,N
-6,N
54,N
54,N
54,N
-33,N
-7,N
9,N
9,N
-110,N
-155,N
9,N
65,N
65,N
65,N
7,N
9,N
-10,N
-12,N
-12,N
-12,N
-12,N
5,N
4,N
-20,N
-27,N
7,N
-21,N
21,N
-89,N
11,N
11,N
11,N
-26,N
-26,N
81,N
-10,N
-18,N
7,N
-22,N
-3,N
-9,N
-51,N
14,N
-73,N
-67,N
-41,N
5,N
-5,N
-48,N
-16,N
-3,N
-15,N
-12,N
-14,N
-13,N
-13,N
-24,N
115,N
-68,N
134,N
19,N
-10,N
-11,N
-31,N
-15,N
7,N
7,N
-54,N
-11,N
-11,N
-14,N
9,N
-3,N
55,N
55,N
-5,N
-5,N
-5,N
-5,N
-16,N
-30,N
50,N
50,N
11,N
-55,N
-30,N
-14,N
-36,N
-7,N
-26,N
-26,N
-26,N
8,N
8,N
-11,N
-11,N
39,N
17,N
-21,N
-66,N
84,N
19,N
19,N
-28,N
-13,N
-4,N
-4,N
-4,N
-28,N
17,N
-4,N
26,N
42,N
-57,N
-25,N
12,N
12,N
12,N
5,N
-34,N
-7,N
-23,N
84,N
-11,N
-19,N
-11,N
-29,N
38,N
-46,N
-46,N
-21,N
9,N
13,N
6,N
3,N
3,N
3,N
35,N
-18,N
146,N
146,N
-38,N
-184,N
150,N
13,N
35,N
6,N
-36,N
-14,N
-24,N
13,N
-50,N
-36,N
-6,N
-22,N
-22,N
-8,N
-6,N
-5,N
-41,N
-41,N
-41,N
-41,N
-95,N
39,N
-20,N
-15,N
-14,N
-46,N
